stamps,orientations,numbers
1714076258.5855448,2.408545369767217,0
1714076258.720749,2.455164311085872,0
1714076258.8556063,2.5065318618189223,0
1714076258.9903407,2.5585502836108893,0
1714076259.1261272,2.6090578015156614,0
1714076259.261284,2.6589296182630933,0
1714076259.396071,2.717442454444487,0
1714076259.531194,2.768446463562523,0
1714076259.6671526,2.8209242841113267,0
1714076259.801828,2.8703931755377554,0
1714076259.9372454,2.9234204710562683,0
1714076260.0715427,2.9762953146725857,0
1714076260.2074416,3.027994020535796,0
1714076260.341683,3.075795842735696,0
1714076260.477193,3.1274104211784857,0
1714076260.6122384,-3.113939660761025,0
1714076260.747038,-3.0625421116307114,0
1714076260.8825688,-3.0200740500554155,0
1714076261.0179968,-2.9778665809248985,0
1714076261.152722,-2.937426400383371,0
1714076261.2876692,-2.8986691194065948,0
1714076261.4230173,-2.8561250756322094,0
1714076261.5698411,-2.810479804905165,0
1714076261.705449,-2.7616536142479515,0
1714076261.8406763,-2.716977194406565,0
1714076261.9752057,-2.671386767240577,0
1714076262.109211,-2.6193741336837397,0
1714076262.2450054,-2.5664736268842985,0
1714076262.380895,-2.5186888829417864,0
1714076262.516281,-2.4659582833296403,0
1714076262.650664,-2.4149773029113675,0
1714076262.7851105,-2.361231808135583,0
1714076262.9197843,-2.310643237189102,0
1714076263.0548737,-2.2578130870964026,0
1714076263.1898851,-2.205154023236565,0
1714076263.3254254,-2.155450953837489,0
1714076263.461388,-2.1033709961998603,0
1714076263.5966268,-2.0509795050318758,0
1714076263.7317183,-2.004987407944216,0
1714076263.8667066,-1.952909026098976,0
1714076264.0018792,-1.909648818920413,0
1714076264.1367488,-1.858200098281572,0
1714076264.2717571,-1.8138920197094368,0
1714076264.407229,-1.7730308741095897,0
1714076264.541848,-1.7285132961009466,0
1714076264.6770928,-1.6865102817133606,0
1714076264.8120134,-1.6471354076550375,0
1714076264.9468503,-1.6081179729965092,0
1714076265.0823426,-1.5675986496559584,0
1714076265.217539,-1.5219460189457494,0
1714076265.3531344,-1.470178380651544,0
1714076265.4880483,-1.422319899518327,0
1714076265.6229105,-1.3733751327417367,0
1714076265.7584572,-1.3259240731860027,0
1714076265.893319,-1.2693337875255233,0
1714076266.0408423,-1.2219203557173406,0
1714076266.1757898,-1.170443696930962,0
1714076266.3103168,-1.122993963076309,0
1714076266.4462192,-1.0685549441325926,0
1714076266.5812156,-1.018579312687962,0
1714076266.7165492,-0.9680911718146582,0
1714076266.8509696,-0.9170965761140102,0
1714076266.986791,-0.8648508992148443,0
1714076267.1216507,-0.8156149926456485,0
1714076267.2575872,-0.7624633019399111,0
1714076267.390985,-0.7116189799721353,0
1714076267.5266786,-0.6618855702490625,0
1714076267.662007,-0.6088470825502236,0
1714076267.7977328,-0.5612260562784934,0
1714076267.9319437,-0.5121558961184709,0
1714076268.0670753,-0.4657231124308527,0
1714076268.202653,-0.4241293434832069,0
1714076268.3388302,-0.3785779322223312,0
1714076268.472381,-0.3393271088377466,0
1714076268.607566,-0.2977143473645479,0
1714076268.74316,-0.2588208499002613,0
1714076268.878523,-0.2132883143561134,0
1714076269.012567,-0.1669153189508363,0
1714076269.1480649,-0.1159568875537186,0
1714076269.2829149,-0.0683198991515312,0
1714076269.4185112,-0.017510923706395,0
1714076269.5534284,0.0305741532441121,0
1714076269.6882446,0.0743826678593677,0
1714076269.8239813,0.1262622443490854,0
1714076269.9585588,0.1722378982588611,0
1714076270.0939105,0.2262004684273346,0
1714076270.228826,0.2763847422862219,0
1714076270.3641253,0.3266090890655331,0
